Valsts;janvāris;februāris;marts;aprīlis;maijs;jūnijs;jūlijs;augusts;septembris;oktobris;novembris;decembris;KOPĀ;gads
D-Āfrika;1;0;0;0;7;5;1;0;26;0;0;1;41;2019
Aruba sala;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Dominikāna;0;0;0;0;0;0;0;0;0;0;0;0;0;2019
Venecuēla;0;2;0;0;0;0;0;0;0;0;0;0;2;2019
Čīle;0;0;0;0;1;1;5;3;2;0;0;0;12;2019
Libāna;0;0;0;0;0;0;0;2;0;0;0;0;2;2019
Sīrija;0;0;0;0;5;0;0;0;5;0;0;0;10;2019
Šrilanka;0;0;0;0;0;0;0;0;3;0;0;0;3;2019
Īrija;0;0;4;11;10;15;8;7;10;7;0;0;72;2019
Apvienotie Arābu Emirāti;0;0;0;0;0;0;2;9;0;0;0;0;11;2019
CITA valsts;0;0;0;0;0;0;0;2;4;0;1;0;7;2019
Cilvēku skaits kopā;1737;1691;1763;2840;7035;7598;11997;13565;6493;6389;2614;1532;65254;2019
